Date,AGG,BIL,BND,DBC,DIA,DVY,EEM,EFA,EWG,EWJ,EWQ,EWT,EWU,EWY,EWZ,FXI,GLD,HYG,IAU,IEF,IEFA,IEMG,IJR,INDA,ITOT,IVV,IWD,IWF,IWM,JNK,LQD,MCHI,MDY,MTUM,QQQ,QUAL,SCHD,SHY,SLV,SPY,TIP,TLT,USMV,USO,VEA,VIG,VLUE,VNQ,VOO,VTI,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2021-02-18,5333500,1406500,4607000,1672900,2609600,291900,46118400,19191700,2950300,5794500,221800,2648800,1459100,2901600,22001100,17577100,7498200,26366700,9305100,4469900,4881600,8124100,3009100,2256000,982300,2840100,1782300,1411500,24501500,11322000,15414100,3643400,652300,578800,32236200,804100,4298700,2362300,22250900,59712800,2611800,10755300,2971200,6708600,8100900,1283700,684800,3254600,3010500,3658900,1426100,640200,5971700,12117600,61360200,45188200,6409500,10954800,7464900,2932100,15419600,7756600,5160000
2021-02-19,4673100,805200,4011100,1918000,2314900,638800,39809800,14962300,2067900,4486200,259600,2404400,3831200,2524700,28313400,8680700,8273500,28124800,10102150,5851800,8598400,6761400,2559000,3028000,869400,3051200,1775000,1103000,31238200,6327700,13678500,2200700,793300,629800,39157700,552500,3796200,2113900,39603400,83241000,3543500,12741700,2877600,5537500,7278800,918800,414200,4170700,2487100,4921800,1722300,843500,7144800,11360800,54404200,54361800,8737200,11685600,10246100,2448500,17935400,9390800,5022800
2021-02-22,4894200,1284500,4809400,3947900,2978000,971300,46924200,19515800,2669200,6059300,257500,3263200,2225100,3171300,51685800,21013600,10072000,25455400,7763100,3828000,7723200,15085200,4124900,3853400,1609300,2878300,1553100,916900,23272100,10123100,17978100,5747600,735200,821400,47256900,530300,5275500,3801600,55307700,67414200,2735700,13203900,2655400,5814300,6601600,1088400,656000,3493000,3291000,4400300,1683900,828700,10568800,12198600,75644600,65930200,10552200,14262600,8649600,4293100,35602800,7213300,5694000
2021-02-23,6035200,1169800,6475900,3308200,5723400,747900,40316200,25014500,2749500,6817600,318500,3687200,3686500,3239500,30591100,17886200,8616800,29015900,10968900,7344900,8983300,12039800,7638900,4336900,3322000,4439600,3338700,2066300,38646800,16211400,23482500,4944200,1354700,4211000,97241900,874300,7680000,9025900,40191400,107284100,3199400,12658500,5780400,5638200,17006500,2404900,1193800,4378300,5251100,5707900,3285600,1324100,8986900,22024400,98370800,94331400,16573400,24198400,12743400,5986100,26213200,8731500,10768600
2021-02-24,6232300,861500,5164600,4457800,4290300,1051100,36631300,21877600,2842700,7036700,316300,3271500,2451300,4200700,24699300,25505700,8890600,21791800,9274300,7133700,7374600,11104000,4692200,3403400,4376700,3386600,3894000,1508500,27584900,6869800,18120000,4760500,550500,1673700,58206300,3870700,7028400,2530000,24093100,72433900,3131500,17363100,3873000,6504700,11151700,1761300,1533500,3551200,3301200,3722800,2850600,1273100,10751500,14763400,77748800,66000600,16795900,16472200,9103700,3779900,23673600,9842000,7973600
2021-02-25,14926900,1371000,9956100,3457100,7648600,690600,50895200,36921800,6032000,10938300,587000,6240400,4826500,5470400,44217600,18494100,16359400,59413400,15192700,35760600,12054300,18574900,5220500,5815300,4301300,6216300,5825300,1513400,49961400,13109200,35471200,4982000,1009300,2155800,110182600,2761700,14103600,4956100,38674000,146670500,7721400,52621700,7114500,4515200,11129200,2136800,1186000,7548800,7049200,7581100,4779300,1038900,13034500,20375400,75887800,92189400,19945300,34313800,17558500,6790200,31360400,14494800,14641800
2021-02-26,11333400,1971100,8580200,5138100,7925600,712000,68933600,48798100,6199600,19004200,564000,5013400,6144100,6702100,44773900,22292800,23730400,46615300,19466700,28188400,16710700,21552900,6631400,10006000,2659900,6449900,7958700,2504900,47734200,13679300,23284400,6173900,954600,2657800,104739800,1580400,9713100,5187500,54587100,152701600,6399400,45423300,4917100,5913100,16625600,1839500,943100,6519800,7579500,6324600,6604500,1231700,17343800,16280200,90308800,103105700,18163400,35511600,17718400,8008400,38014800,14687000,12255200
2021-03-01,13018100,1287100,7152000,6419900,4749700,668600,53421400,24268100,2696800,6603800,494200,3163200,3721000,4044600,33791800,14926100,13828300,48014200,16694350,9616500,11271000,10935800,4046200,4179400,1704700,3900900,2528500,1361200,26161000,19090400,23890800,2652100,881700,1506700,49164500,640100,5799900,3366700,35637500,105348800,13489200,22048000,5156400,6956000,10026300,1834900,519200,4834000,3721100,4691800,2911200,739700,9398300,15016000,69391600,67590700,11494000,24773800,11263900,4505600,31427400,7361800,8697600
2021-03-02,10111300,1588400,5338800,4257900,4075700,523800,38533600,22204900,2491600,9525800,515800,3036700,4172200,3233200,62911400,14810000,11424600,23988500,15265900,6271000,7785500,11890400,3937000,4283500,1953200,4502400,3016100,1259600,26895400,7838000,13633400,2659600,808400,1169700,48370000,911800,5798100,5519200,29101900,79595300,3671500,12482200,4255900,8272200,11181300,1530100,2048500,4715600,5462600,4859000,3604500,907300,11948000,15129200,74468200,49987000,11530700,24802800,12942700,7482600,29306200,8456100,6622400
2021-03-03,10317500,1801400,6022500,4502700,5148100,613100,43013300,20856100,4029200,10593500,427100,4116700,4177200,3602500,81996800,18773000,13059900,30197000,14944600,8377300,9671900,14066600,4573200,5268200,2702000,5415300,2786400,1754600,33407600,9474700,24043300,6228300,684700,2812700,86301100,958400,7123200,2406100,41733400,119940200,4606700,19763700,5325300,4764400,12733000,1969100,583400,6231400,6317600,4334000,5761900,1140800,16340400,17340400,82574400,72541700,17497800,29889600,13450900,7743400,45849800,14946600,11125600
2021-03-04,5953600,1452400,9701800,4591800,8577600,1012000,70653800,34648600,5219700,11757500,1878900,5119000,5729800,4726800,55539300,27292500,13870100,49020300,20464000,12327900,15694300,19443100,4998000,6629000,4267800,7556100,5338300,2845900,59126500,13598500,21771800,6769800,1285200,3596400,139131600,1069900,10848900,2566100,63992600,183433000,5701600,22366600,7399800,11815300,13340100,3159300,1628400,6869500,6604500,7198800,9681800,1800900,21671700,37034800,107573800,101311800,27730400,76955600,25968700,11162900,44172600,23441700,18469600
2021-03-05,8675700,1249000,6871000,5416000,7016100,844200,64018500,29694200,3868400,6837300,709900,6303200,7000000,4633100,35667700,21488900,12821600,46950100,13323700,8634600,10270800,36222300,11493100,5165900,4403100,6516000,5165700,2985500,53204300,16023300,23789400,7831100,1016600,3726500,121523700,1635000,11131800,4413600,30560500,152039600,2570700,20598000,5966400,7883300,12050700,3020400,1427500,7166100,8721300,6614800,4466000,1489000,14267100,23513000,112395800,109299800,22816300,46085800,21719300,9431800,33606600,15645200,20626800
